county_name,state_name,confirmed,new,death,new_death,fatality_rate,latitude,longitude,last_update,date
Alachua,Florida,3749,87,23,0,0.60%,29.79309,-82.49428,2020-08-03 11:41 EDT,8/3/2020
Baker,Florida,403,17,4,0,1.00%,30.3310297,-82.28459751,2020-08-03 11:41 EDT,8/3/2020
Bay,Florida,3701,28,22,1,0.60%,30.27874147,-85.61547985,2020-08-03 11:41 EDT,8/3/2020
Bradford,Florida,340,3,4,0,1.20%,29.94996425,-82.16878035,2020-08-03 11:41 EDT,8/3/2020
Brevard,Florida,5619,32,117,0,2.10%,28.29348419,-80.73235631,2020-08-03 11:41 EDT,8/3/2020
Broward,Florida,58531,556,748,3,1.30%,26.15224542,-80.4870534,2020-08-03 11:41 EDT,8/3/2020
Calhoun,Florida,328,9,7,0,2.10%,30.40591622,-85.19725477,2020-08-03 11:41 EDT,8/3/2020
Charlotte,Florida,2062,38,89,0,4.30%,26.90848328,-81.90343918,2020-08-03 11:41 EDT,8/3/2020
Citrus,Florida,1299,8,30,0,2.30%,28.8507789,-82.46594866,2020-08-03 11:41 EDT,8/3/2020
Clay,Florida,2935,27,48,0,1.60%,29.98305516,-81.85778209,2020-08-03 11:41 EDT,8/3/2020
Collier,Florida,9811,77,124,0,1.30%,26.11625563,-81.34013334,2020-08-03 11:41 EDT,8/3/2020
Columbia,Florida,2598,26,11,1,0.40%,30.22449371,-82.62153926,2020-08-03 11:41 EDT,8/3/2020
DeSoto,Florida,1297,5,15,0,1.20%,27.18625815,-81.80950056,2020-08-03 11:41 EDT,8/3/2020
Dixie,Florida,277,5,4,0,1.40%,29.60848621,-83.15877625,2020-08-03 11:41 EDT,8/3/2020
Duval,Florida,21830,165,160,2,0.70%,30.47844,-81.62557,2020-08-03 11:41 EDT,8/3/2020
Escambia,Florida,8125,118,97,0,1.20%,30.70048478,-87.37722154,2020-08-03 11:41 EDT,8/3/2020
Flagler,Florida,945,15,11,1,1.20%,29.4614205,-81.31356058,2020-08-03 11:41 EDT,8/3/2020
Franklin,Florida,158,28,2,0,1.30%,29.87766253,-84.81641986,2020-08-03 11:41 EDT,8/3/2020
Gadsden,Florida,1576,24,20,0,1.30%,30.57948492,-84.61351742,2020-08-03 11:41 EDT,8/3/2020
Gilchrist,Florida,334,0,3,0,0.90%,29.72589573,-82.80037962,2020-08-03 11:41 EDT,8/3/2020
Glades,Florida,392,1,3,0,0.80%,26.96044686,-81.24215682,2020-08-03 11:41 EDT,8/3/2020
Gulf,Florida,390,11,2,0,0.50%,29.95627817,-85.22647887,2020-08-03 11:41 EDT,8/3/2020
Hamilton,Florida,587,0,3,0,0.50%,30.49645924,-82.94801948,2020-08-03 11:41 EDT,8/3/2020
Hardee,Florida,857,0,7,0,0.80%,27.49268751,-81.80992068,2020-08-03 11:41 EDT,8/3/2020
Hendry,Florida,1667,15,37,0,2.20%,26.54718711,-81.17167885,2020-08-03 11:41 EDT,8/3/2020
Hernando,Florida,1766,17,33,0,1.90%,28.55250381,-82.41938996,2020-08-03 11:41 EDT,8/3/2020
Highlands,Florida,1277,25,29,0,2.30%,27.34332999,-81.34112609,2020-08-03 11:41 EDT,8/3/2020
Hillsborough,Florida,30450,332,348,1,1.10%,27.93023096,-82.30785534,2020-08-03 11:41 EDT,8/3/2020
Holmes,Florida,455,10,2,0,0.40%,30.86792762,-85.81398628,2020-08-03 11:41 EDT,8/3/2020
Indian River,Florida,2340,38,48,0,2.10%,27.6943965,-80.60612987,2020-08-03 11:41 EDT,8/3/2020
Jackson,Florida,1618,5,33,0,2.00%,30.7957297,-85.21834956,2020-08-03 11:41 EDT,8/3/2020
Jefferson,Florida,363,19,5,0,1.40%,30.43766934,-83.89518449,2020-08-03 11:41 EDT,8/3/2020
